State,Year,(R01) Total Revenue,(E001) Total Expenditure,(E021) Total Correct-Dir Exp,(E024) Total Educ-Direct Exp,(E055) Health-Direct Expend,(E058) Total Hospital-Dir Exp,(E074) Hous & Com-Direct Exp,(E087) Police Prot-Direct Exp,(E090) Public Welf-Direct Exp,(E137) Unemp Comp-Total Exp
United States,1977,1366644562,1312783911,17630927,415732276,22236004,70953620,13702034,42250295,139665230,59446887
United States,1978,1397060275,1303751373,18726660,416394100,23696314,70111065,13906797,42505184,141653912,40377866
United States,1979,1367037303,1289301287,18685920,403293981,24237759,71033362,15950073,41216283,136464078,30001989
United States,1980,1343211785,1291262980,19179756,396269809,24948334,70759927,18031691,40140488,135506875,35907105
United States,1981,1366436974,1313366901,19935612,393120325,26347949,71000030,19107784,40305974,140890327,48356287
United States,1982,1391260275,1332507307,21514647,391893439,26603493,76826331,21804097,41940550,142795431,46041944
United States,1983,1460314017,1394582510,24077584,403305283,27805128,79865195,20931496,44194476,145588229,59489460
United States,1984,1538185344,1416038993,26158482,415471627,28962664,80337332,21901045,45442728,152661972,33169355
United States,1985,1640349798,1498713152,29247251,438951543,31234405,81713673,23641270,47739890,158378814,34159802
United States,1986,1752021851,1604591453,33452043,471494817,34776492,84956347,25238611,50735944,165018973,33294486
United States,1987,1820876346,1676667080,35900385,488985586,36473301,86707251,25396460,53387745,173093389,32901603
United States,1988,1831908287,1713247300,39339290,502844964,38307148,90033508,27463632,54446044,179141284,27128605
United States,1989,1885452040,1761035594,41902574,521667197,40888364,93052520,29134475,54896326,187718791,25424947
United States,1990,1935668796,1830316824,46201840,540404400,45428285,94544686,29030567,57344588,201209539,30943517
United States,1991,1945234886,1913574565,49233443,556653401,48062244,97911845,29960778,58979408,228498955,39837205
United States,1992,2079042323,2021028265,50349407,567203690,51420341,103326522,30503140,61903064,271070690,57457936
United States,1993,2155744485,2058878384,50263695,580632589,54775664,106129269,31848058,61758064,283454344,60065503
United States,1994,2202262860,2091110487,53374541,584329950,58433044,107675449,32913058,63917473,297434471,47343011
United States,1995,2280588324,2173651312,57672126,608413356,61151285,109252866,34594698,66032066,310597141,56622022
United States,1996,2364702337,2183480955,58600866,623124406,62749420,110370959,35410626,69806709,302268230,46101546
United States,1997,2468755827,2230608806,60908678,639016446,64488935,104261341,35936208,72374137,305399330,41476798
United States,1998,2587879765,2299778539,63879507,677260433,66754713,104714924,37139901,75904808,307738266,26736002
