"","state","Year","ViolentCrimeRate_Inc","PropCrimeRate_Inc","PoliceExpenseRate_Inc","CorrectionExpenseRate_Inc"
"1",NA,NA,NA,NA,NA,NA
"2","Alabama","1978","-1.12","-6.29","2.38","-34.96"
"3","Alaska","1978","0.29","-2.67","-0.11","10.26"
"4","Arizona","1978","-10.49","2.85","-4.54","-6.88"
"5","Arkansas","1978","-6.16","-3.19","0.21","-12.71"
"6","California","1978","-4.97","-1.11","0.86","-3.28"
"7","Colorado","1978","2.79","-0.3","-1.06","-13.36"
"8","Connecticut","1978","-10.38","-1.19","-6.73","-8.18"
"9","Delaware","1978","-13.3","-1.44","-0.83","10.59"
"10","Florida","1978","-10.29","-4","1.37","2.99"
"11","Georgia","1978","-8.91","-10.94","-6.92","-18"
"12","Hawaii","1978","-16.77","-7.93","1.09","-11.17"
"13","Idaho","1978","0.21","2.9","4.17","22.44"
"14","Illinois","1978","-6.81","-4.98","3.78","-9.02"
"15","Indiana","1978","-3.99","-1.32","7.01","-4.78"
"16","Iowa","1978","-10.78","-2.65","4.48","-0.55"
"17","Kansas","1978","-2.64","0.66","0.61","4.29"
"18","Kentucky","1978","4.66","-0.72","0.17","-9.33"
"19","Louisiana","1978","-10.28","-5.57","7.15","69.54"
"20","Maine","1978","8.18","-2.04","2.56","3.83"
"21","Maryland","1978","-5.22","-1.48","-0.34","-9.96"
"22","Massachusetts","1978","-7.94","1.95","-0.14","7.72"
"23","Minnesota","1978","2.22","2.09","-7.39","-19.68"
"24","Mississippi","1978","-10.12","2.96","-2.52","-6.55"
"25","Missouri","1978","-1.6","1.51","6.73","0.93"
"26","Montana","1978","-8.25","5.68","-5.49","-7.71"
"27","Nebraska","1978","4.67","2.29","2.52","-18.66"
"28","Nevada","1978","-4.84","-3.74","-14.26","-21.45"
"29","New Hampshire","1978","-4.8","-6.83","5.01","1.2"
"30","New Mexico","1978","-5.17","0.74","6.6","-12.25"
"31","New York","1978","-1.09","6.15","1.97","-6.93"
"32","North Carolina","1978","-1.52","-2.44","-2.69","-16.46"
"33","North Dakota","1978","0.15","4.08","1.29","-4.4"
"34","Ohio","1978","-1.45","1.58","-2.76","1.73"
"35","Oklahoma","1978","-10.31","1.75","1","-14"
"36","Oregon","1978","-9.28","-0.75","-4.25","-6.2"
"37","Pennsylvania","1978","-6.08","-1.7","-1.48","-0.14"
"38","Rhode Island","1978","-13.36","4.29","-6.89","-9.63"
"39","South Carolina","1978","-0.22","-1.35","-2.01","-6.18"
"40","South Dakota","1978","15.66","-4.09","3.48","27.45"
"41","Tennessee","1978","1.8","8.31","-4.41","-26.05"
