,NPI,NPPES_last_name,NPPES_first_name,NPPES_zip_code,NPPES_state,Speciality_Description,YEAR,Total_Claim_Count,Opioid_Claim_Count,Long-Acting_Opioid_Claim_Count,ZIP,COUNTY
0,1003000126,ENKESHAFI,ARDALAN,21502,MD,Internal Medicine,2013,363,16,0,21502,Allegany
1,1003000126,ENKESHAFI,ARDALAN,21502,MD,Internal Medicine,2014,675,37,0,21502,Allegany
2,1003000126,ENKESHAFI,ARDALAN,21502,MD,Internal Medicine,2015,825,38,0,21502,Allegany
3,1003000126,ENKESHAFI,ARDALAN,21502,MD,Internal Medicine,2016,545,23,0,21502,Allegany
4,1003000126,ENKESHAFI,ARDALAN,21502,MD,Internal Medicine,2017,677,25,0,21502,Allegany
5,1003000142,KHALIL,RASHID,43623,OH,Anesthesiology,2013,512,252,29,43623,Lucas
6,1003000142,KHALIL,RASHID,43623,OH,Anesthesiology,2014,937,425,36,43623,Lucas
7,1003000142,KHALIL,RASHID,43623,OH,Anesthesiology,2015,1757,847,174,43623,Lucas
8,1003000142,KHALIL,RASHID,43623,OH,Anesthesiology,2016,1733,941,165,43623,Lucas
9,1003000142,KHALIL,RASHID,43623,OH,Anesthesiology,2017,1946,1040,200,43623,Lucas
10,1003000159,VOGES,MARSHA,29405,SC,Nurse Practitioner,2014,18,0,0,29405,Charleston
11,1003000167,ESCOBAR,JULIO,89403,NV,Dentist,2013,69,24,0,89403,Lyon
12,1003000167,ESCOBAR,JULIO,89403,NV,Dentist,2013,69,24,0,89403,Storey
13,1003000167,ESCOBAR,JULIO,89403,NV,Dentist,2014,58,18,0,89403,Lyon
14,1003000167,ESCOBAR,JULIO,89403,NV,Dentist,2014,58,18,0,89403,Storey
15,1003000167,ESCOBAR,JULIO,89403,NV,Dentist,2015,43,16,0,89403,Lyon
16,1003000167,ESCOBAR,JULIO,89403,NV,Dentist,2015,43,16,0,89403,Storey
17,1003000167,ESCOBAR,JULIO,89403,NV,Dentist,2016,49,11,0,89403,Lyon
18,1003000167,ESCOBAR,JULIO,89403,NV,Dentist,2016,49,11,0,89403,Storey
19,1003000167,ESCOBAR,JULIO,89403,NV,Dentist,2017,55,14,0,89403,Lyon
20,1003000167,ESCOBAR,JULIO,89403,NV,Dentist,2017,55,14,0,89403,Storey
21,1003000175,REYES-VASQUEZ,BELINDA,91744,CA,Dentist,2013,13,0,0,91744,Los
22,1003000175,REYES-VASQUEZ,BELINDA,91744,CA,Dentist,2015,15,0,0,91744,Los
23,1003000175,REYES-VASQUEZ,BELINDA,91744,CA,Dentist,2017,18,0,0,91744,Los
24,1003000183,CYPHERS,DENNIS,98467,WA,Massage Therapist,2013,82,0,0,98467,Pierce
25,1003000282,BLAKEMORE,ROSIE,37243,TN,Nurse Practitioner,2013,60,0,0,37243,Davidson
26,1003000282,BLAKEMORE,ROSIE,37243,TN,Nurse Practitioner,2014,14,0,0,37243,Davidson
27,1003000282,BLAKEMORE,ROSIE,37243,TN,Nurse Practitioner,2015,114,21,0,37243,Davidson
28,1003000282,BLAKEMORE,ROSIE,37243,TN,Nurse Practitioner,2016,146,0,0,37243,Davidson
29,1003000282,BLAKEMORE,ROSIE,37243,TN,Nurse Practitioner,2017,90,0,0,37243,Davidson
30,1003000407,GIRARDI,DAVID,15825,PA,Family Practice,2015,1388,26,0,15825,Jefferson
31,1003000407,GIRARDI,DAVID,15825,PA,Family Practice,2016,2225,17,0,15825,Jefferson
32,1003000407,GIRARDI,DAVID,15825,PA,Family Practice,2017,2788,32,15,15825,Jefferson
33,1003000407,GIRARDI,DAVID,16668,PA,Family Practice,2013,427,15,0,16668,Cambria
34,1003000407,GIRARDI,DAVID,16668,PA,Family Practice,2014,420,20,0,16668,Cambria
35,1003000415,WEBSTER,MARSHALL,31088,GA,Chiropractic,2013,11,0,0,31088,Houston
36,1003000423,VELOTTA,JENNIFER,44106,OH,Obstetrics & Gynecology,2016,170,0,0,44106,Cuyahoga
37,1003000423,VELOTTA,JENNIFER,44106,OH,Obstetrics & Gynecology,2017,200,0,0,44106,Cuyahoga
