State,City,LatLon
New York,New York City,"40.6635, -73.9387 "
California,Los Angele,"34.0194, -118.4108 "
Illinois,Chicag,"41.8376, -87.6818 "
Texas,Houston,"29.7866, -95.3909 "
Arizona,Phoeni,"33.5722, -112.0901 "
Pennsylvania,Philadelphia,"40.0094, -75.1333 "
Texas,San Antoni,"29.4724, -98.5251 "
California,San Dieg,"32.8153, -117.1350 "
Texas,Dalla,"32.7933, -96.7665 "
California,San Jos,"37.2967, -121.8189 "
Texas,Austi,"30.3039, -97.7544 "
Florida,Jacksonville,"30.3369, -81.6616 "
Texas,Fort Wort,"32.7815, -97.3467 "
Ohio,Columbu,"39.9852, -82.9848 "
North Carolina,Charlott,"35.2078, -80.8310 "
California,San Francisco,"37.7272, -123.0322 "
Indiana,Indianapolis,"39.7767, -86.1459 "
Washington,Seattl,"47.6205, -122.3509 "
Colorado,Denver,"39.7619, -104.8811 "
District of Columbia,Washington,"38.9041, -77.0172 "
Massachusetts,Bosto,"42.3320, -71.0202 "
Texas,El Pas,"31.8484, -106.4270 "
Tennessee,Nashville,"36.1718, -86.7850 "
Michigan,Detroi,"42.3830, -83.1022 "
Oklahoma,Oklahoma Cit,"35.4671, -97.5137 "
Oregon,Portlan,"45.5370, -122.6500 "
Nevada,Las Vega,"36.2292, -115.2601 "
Tennessee,Memphi,"35.1028, -89.9774 "
Kentucky,Louisville,"38.1654, -85.6474 "
Maryland,Baltimore,"39.3000, -76.6105 "
Wisconsin,Milwauke,"43.0633, -87.9667 "
New Mexico,Albuquerqu,"35.1056, -106.6474 "
Arizona,Tucso,"32.1531, -110.8706 "
California,Fresn,"36.7836, -119.7934 "
Arizona,Mes,"33.4019, -111.7174 "
California,Sacrament,"38.5666, -121.4686 "
Georgia,Atlant,"33.7629, -84.4227 "
Missouri,Kansas Cit,"39.1251, -94.5510 "
Colorado,Colorado Spring,"38.8673, -104.7607 "
Nebraska,Omah,"41.2644, -96.0451 "
North Carolina,Raleig,"35.8306, -78.6418 "
Florida,Miam,"25.7752, -80.2086 "
California,Long Beac,"33.8092, -118.1553 "
Virginia,Virginia Beach,"36.7800, -76.0252 "
California,Oaklan,"37.7698, -122.2257 "
Minnesota,Minneapoli,"44.9633, -93.2683 "
Oklahoma,Tuls,"36.1279, -95.9023 "
Florida,Tamp,"27.9701, -82.4797 "
Texas,Arlingto,"32.7007, -97.1247 "
Louisiana,New Orleans,"30.0534, -89.9345 "
Kansas,Wichit,"37.6907, -97.3459 "
California,Bakersfiel,"35.3212, -119.0183 "
Ohio,Clevelan,"41.4785, -81.6794 "
Colorado,Auror,"39.6880, -104.6897 "
California,Anahei,"33.8555, -117.7601 "
Hawaii,Honolulu,"21.3243, -157.8476 "
California,Santa An,"33.7363, -117.8830 "
California,Riversid,"33.9381, -117.3932 "
Texas,Corpus Christ,"27.7543, -97.1734 "
Kentucky,Lexington,"38.0407, -84.4583 "
Nevada,Henderso,"36.0097, -115.0357 "
California,Stockto,"37.9763, -121.3133 "
Minnesota,Saint Pau,"44.9489, -93.1041 "
Ohio,Cincinnat,"39.1402, -84.5058 "
Missouri,St. Louis,"38.6357, -90.2446 "
Pennsylvania,Pittsburg,"40.4398, -79.9766 "
North Carolina,Greensbor,"36.0951, -79.8270 "
Nebraska,Lincol,"40.8105, -96.6803 "
Alaska,Anchorage,"61.1743, -149.2843 "
Texas,Plan,"33.0508, -96.7479 "
Florida,Orland,"28.4166, -81.2736 "
California,Irvin,"33.6784, -117.7713 "
New Jersey,Newar,"40.7242, -74.1726 "
North Carolina,Durha,"35.9811, -78.9029 "
California,Chula Vist,"32.6277, -117.0152 "
Ohio,Toled,"41.6641, -83.5819 "
Indiana,Fort Wayn,"41.0882, -85.1439 "
Florida,St. Petersbur,"27.7620, -82.6441 "
Texas,Lared,"27.5604, -99.4892 "
New Jersey,Jersey Cit,"40.7114, -74.0648 "
Arizona,Chandle,"33.2829, -111.8549 "
Wisconsin,Madiso,"43.0878, -89.4299 "
Texas,Lubboc,"33.5656, -101.8867 "
Arizona,Scottsdal,"33.6843, -111.8611 "
Nevada,Ren,"39.5491, -119.8499 "
New York,Buffal,"42.8925, -78.8597 "
Arizona,Gilbert,"33.3103, -111.7431 "
Arizona,Glendal,"33.5331, -112.1899 "
Nevada,North Las Vega,"36.2857, -115.0939 "
North Carolina,Winston–Sale,"36.1027, -80.2610 "
Virginia,Chesapeake,"36.6794, -76.3018 "
Virginia,Norfolk,"36.9230, -76.2446 "
California,Fremon,"37.4945, -121.9412 "
Texas,Garlan,"32.9098, -96.6303 "
Texas,Irvin,"32.8577, -96.9700 "
Florida,Hialea,"25.8699, -80.3029 "
Virginia,Richmond,"37.5314, -77.4760 "
Idaho,Boise,"43.6002, -116.2317 "
Washington,Spokan,"47.6669, -117.4333 "
Louisiana,Baton Rouge,"30.4422, -91.1309 "
Washington,Tacom,"47.2522, -122.4598 "
California,San Bernardin,"34.1416, -117.2936 "
California,Modest,"37.6375, -121.0030 "
California,Fontan,"34.1090, -117.4629 "
Iowa,Des Moine,"41.5726, -93.6102 "
California,Moreno Valle,"33.9233, -117.2057 "
California,Santa Clarit,"34.4030, -118.5042 "
North Carolina,Fayettevill,"35.0828, -78.9735 "
Alabama,Birmingha,"33.5274, -86.7990 "
California,Oxnar,"34.2023, -119.2046 "
New York,Rocheste,"43.1699, -77.6169 "
Florida,Port St. Luci,"27.2806, -80.3883 "
Michigan,Grand Rapid,"42.9612, -85.6556 "
Alabama,Huntsvill,"34.6990, -86.6730 "
Utah,Salt Lake Cit,"40.7769, -111.9310 "
Texas,Frisc,"33.1554, -96.8226 "
New York,Yonker,"40.9459, -73.8674 "
Texas,Amarill,"35.1999, -101.8302 "
California,Glendal,"34.1814, -118.2458 "
California,Huntington Beac,"33.6906, -118.0093 "
Texas,McKinne,"33.1985, -96.6680 "
Alabama,Montgomer,"32.3472, -86.2661 "
Georgia,Augusta,"33.3655, -82.0734 "
Illinois,Auror,"41.7635, -88.2901 "
Ohio,Akro,"41.0805, -81.5214 "
Arkansas,Little Roc,"34.7254, -92.3586 "
Arizona,Temp,"33.3884, -111.9318 "
Georgia,Columbus,"32.5102, -84.8749 "
Kansas,Overland Par,"38.8890, -94.6906 "
Texas,Grand Prairi,"32.6869, -97.0211 "
Florida,Tallahasse,"30.4551, -84.2534 "
Florida,Cape Cora,"26.6432, -81.9974 "
Alabama,Mobil,"30.6684, -88.1002 "
Tennessee,Knoxvill,"35.9707, -83.9493 "
Louisiana,Shrevepor,"32.4669, -93.7922 "
Massachusetts,Worceste,"42.2695, -71.8078 "
California,Ontari,"34.0394, -117.6042 "
Washington,Vancouve,"45.6349, -122.5957 "
South Dakota,Sioux Fall,"43.5383, -96.7320 "
Tennessee,Chattanoog,"35.0660, -85.2484 "
Texas,Brownsvill,"25.9991, -97.4550 "
Florida,Fort Lauderdal,"26.1412, -80.1467 "
Rhode Island,Providenc,"41.8231, -71.4188 "
Virginia,Newport News,"37.0762, -76.5220 "
California,Rancho Cucamong,"34.1233, -117.5642 "
California,Santa Ros,"38.4468, -122.7061 "
Arizona,Peori,"33.7862, -112.3080 "
California,Oceansid,"33.2245, -117.3062 "
California,Elk Grov,"38.4146, -121.3850 "
Oregon,Sale,"44.9237, -123.0232 "
Florida,Pembroke Pine,"26.0210, -80.3404 "
Oregon,Eugen,"44.0567, -123.1162 "
California,Garden Grov,"33.7788, -117.9605 "
North Carolina,Cary,"35.7809, -78.8133 "
Colorado,Fort Collin,"40.5482, -105.0648 "
California,Coron,"33.8620, -117.5655 "
